poiId,name,latitude,longitude,preference,address
160,KAMIGOS - KEBAB,-12.9366876,-38.3945855,fast-food,Shopping Paralela  Av. Luís Viana Filho  8544  Salvador - BA  41701-970
161,Sandwich Hall,-12.901765,-38.4201054,fast-food,
162,Cinemark,-12.9779888,-38.45446829999999,movie_theater,Av. Tancredo Neves  2915 - Loja 3005 - Caminho das arvores  Salvador - BA  41820-910  Brazil
163,Espaco Itau de Cinema - Salvador,-12.9772187,-38.5143266,movie_theater,Praca Castro Alves  s/n - Centro  Salvador - BA  40020-160  Brazil
164,Cinema e Video,-12.9350988,-38.3922428,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil
165,Cine Daten Paseo,-12.9955401,-38.4712012,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil
166,Cinepolis,-12.9094444,-38.3511111,movie_theater,Rod. BA 526  n 305 3017 - Sao Cristovao  Salvador - BA  41301-110  Brazil
167,Orient Cinemas,-12.9364406,-38.394295,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil
168,UCI Orient Shopping da Bahia,-12.9821815,-38.4634285,movie_theater,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil
169,UCI Orient Shopping Barra,-13.0058612,-38.5242594,movie_theater,Shopping Center Barra  Av. Centenario  2992 - Chame-Chame  Salvador - BA  40140-400  Brazil
170,UFBA Art Room,-12.995381,-38.518751,movie_theater,Av. Reitor Miguel Calmon  s/n  PAC Vale do - Canela  Salvador - BA  40110-100  Brazil
171,Rainha Cinema Digital,-12.9820278,-38.4538813,movie_theater,R. Frederico SimÃµes  98 - Caminho das arvores  Salvador - BA  41820-774  Brazil
172,Saladearte Film Museum,-12.9925765,-38.5254646,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-001  Brazil
173,Room Walter da Silveira,-12.9857652,-38.513292,movie_theater,R. Gen. Labatut  27 - Barris  Salvador - BA  40070-100  Brazil
174,Summer Lounge Drive In,-12.9825077,-38.4320255,movie_theater,Boca do Rio  Salvador - BA  41706-690 - Boca do Rio  Salvador - BA  41710-755  Brazil
175,Bahia Geological Museum,-12.9926116,-38.5254522,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-002  Brazil
176,Cine MAM,-12.9823188,-38.5201238,movie_theater,Ac. Ao Solar do Unhao - Dois de Julho  Salvador - BA  40060-110  Brazil
177,Cinepolis Bela Vista,-12.9657543,-38.4731422,movie_theater,R. dos Rodoviarios  01 - Cabula  Salvador - BA  41150-125  Brazil
178,I Saui Pitoo Cinema e Bar,-12.9403698,-38.4795799,movie_theater,R. Ribeirao do Amparo  3 - Cabula IV  Salvador - BA  40352-216  Brazil
179,DIMAS- Diretoria de Audiovisual da Fundacao Cultural do Estado da Bahia,-12.9745962,-38.5115384,movie_theater,Tv. do Tijolo  15 - Centro Historico  Salvador - BA  40020-247  Brazil
180,Casa de Cinema da Bahia,-12.9725511,-38.508565,movie_theater,R. Maciel de Cima  21 - Pelourinho  Salvador - BA  40026-250  Brazil
181,Cultural Afro Brazilian Museum,-12.976115,-38.5125691,museum,R. das Vassouras  1-23 - Centro  Salvador - BA  40020-020  Brazil
182,Bahia Nautico Museum,-13.0102783,-38.5328507,museum,Largo do Farol da Barra  s/n - Barra  Salvador - BA  40140-650  Brazil
183,Bahia Museum of Art,-12.9936599,-38.5259563,museum,Av. Sete de Setembro  2340 - Corredor da Vitoria  Salvador - BA  40080-004  Brazil
184,Palace of Arts,-12.9978807,-38.5255849,museum,R. da Graca  284 - Graca  Salvador - BA  40150-060  Brazil
185,House and Chapel of the Former Quinta do Unhao,-12.9827887,-38.5204928,museum,Av. Contorno  s/n - Dois de Julho  Salvador - BA  40301-110  Brazil
186,Afro-Brazilian Museum UFBA,-12.9727902,-38.5098637,museum,Largo Terreiro de Jesus  010 - s/n - Pelourinho  Salvador - BA  40026-010  Brazil
187,Museu de Arte Moderna da Bahia - MAM,-12.9826484,-38.5206628,museum,Av. Lafayete Coutinho  s/n - Comercio  Salvador - BA  40301-155  Brazil
188,Casa do Carnaval da Bahia,-12.9724854,-38.5108757,museum,Praca Ramos de Queiros  s/n - Pelourinho  Salvador - BA  40026-055  Brazil
189,Museum of Mercy,-12.9737696,-38.5118176,museum,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
190,Palace of Acclamation,-12.9863235,-38.52077070000001,museum,Av. Sete de Setembro  1330 - Campo Grande  Salvador - BA  40080-001  Brazil
191,Museu da Gastronomia Baiana,-12.971313,-38.508221,museum,Largo do Pelourinho  13/19 - Pelourinho  Salvador - BA  40026-280  Brazil
192,Museu de Arqueologia e Etnologia da UFBA,-12.9727133,-38.5098387,museum,Largo Terreiro de Jesus  s/n - Pelourinho  Salvador - BA  40026-010  Brazil
193,Muncab - National Museum of Afro Brazilian Culture,-12.9761485,-38.5124649,museum,R. das Vassouras  25 - Centro Historico  Salvador - BA  40020-056  Brazil
194,Carlos Costa Pinto Museum,-12.9947599,-38.5273177,museum,Av. Sete de Setembro  2490 - Vitoria  Salvador - BA  40080-005  Brazil
195,Museu Tempostal,-12.9728645,-38.5083826,museum,R. Gregorio de Matos  33 - Pelourinho  Salvador - BA  40026-240  Brazil
196,Rio Branco Palace,-12.9749448,-38.5131671,museum,Praca Tome de Souza  S/N - Centro  Salvador - BA  40020-000  Brazil
197,Church and Convent of Saint Teresa,-12.9789828,-38.5160198,museum,R. do Sodre  28 - Dois de Julho  Salvador - BA  40060-240  Brazil
198,Child Museum,-12.9609679,-38.4037754,museum,480  R. do Mangalo  152 - Patamares  Salvador - BA  41680-048  Brazil
199,Museum of Brazilian Music,-12.9738253,-38.508487,museum,R. das Laranjeiras  28 - Pelourinho  Salvador - BA  40026-230  Brazil
200,Beatlemania Experience Salvador,-12.9793321,-38.454943,museum,Alameda Salvador  545-579 - Stiep  Salvador - BA  41820-000  Brazil
